,index,policy,item_util,max_envy,imp_in_item_util
227,7,Expo-Fair,0.17244250135715208,0.1547902026871309,1.0299276006156672
228,8,Expo-Fair,0.11662887053266324,0.1575872266479291,0.6152448311252006
229,9,Expo-Fair,0.05825678443055336,0.16558015029575998,0.5254075751970557
230,0,NSW,0.14295364962275225,0.011828713773544774,1.2404205601835137
231,1,NSW,0.20319511633745257,0.012584312757187455,1.123258965171243
232,2,NSW,0.16776282816235005,0.0,1.2923668209374757
233,3,NSW,0.25429279347464295,0.0,1.2622870087256932
234,4,NSW,0.22279625166444444,0.0,1.6633371999911448
235,5,NSW,0.19065972794151476,0.021788379332224838,1.1068849587902634
236,6,NSW,0.08332570877575327,0.003938460593859705,1.0655596483616276
237,7,NSW,0.16562197822947228,0.01819365007934235,0.989191442391623
238,8,NSW,0.1504240974988112,0.04459980600989235,0.7935226332908522
239,9,NSW,0.0970796129115475,0.036985751245821576,0.8755437588857744
240,0,Max,0.10944233472467335,0.06920970944668492,0.9496401281479733
241,1,Max,0.4451132830280688,0.0,2.4605782594093193
242,2,Max,0.16613775365731112,0.16252863364716125,1.2798480025861823
243,3,Max,0.4139622685852558,0.0,2.054872206946321
244,4,Max,0.13317824759106334,0.13327647524827213,0.9942731612086572
245,5,Max,0.24613591394317474,0.07696418346241525,1.4289548396154619
246,6,Max,0.03403463329514922,0.10265655638408251,0.4352310039593576
247,7,Max,0.15510688669506648,0.196134463411525,0.9263891580994535
248,8,Max,0.10992046284681063,0.1984790445204699,0.5798563965553444
249,9,Max,0.05268579965258189,0.184814436339039,0.47516385453404936
250,0,Expo-Fair,0.11309165928067108,0.06357462519204345,0.98130561708084
251,1,Expo-Fair,0.4231818176425346,0.0,2.3393415114122242
252,2,Expo-Fair,0.1688754924233269,0.1537707472110304,1.3009382690316733
253,3,Expo-Fair,0.3702264093498676,0.0,1.8377712573915268
254,4,Expo-Fair,0.15035633029314582,0.08175588542718018,1.1225201302193035
255,5,Expo-Fair,0.24613585454453818,0.0379922740767241,1.4289544947735904
256,6,Expo-Fair,0.03524760382652799,0.08421097609569708,0.45074233259824553
257,7,Expo-Fair,0.17244250135715208,0.1547902026871309,1.0299276006156672
258,8,Expo-Fair,0.11662887053266324,0.1575872266479291,0.6152448311252006
259,9,Expo-Fair,0.05825678443055336,0.16558015029575998,0.5254075751970557
260,0,NSW,0.14295364962275225,0.011828713773544774,1.2404205601835137
261,1,NSW,0.20319511633745257,0.012584312757187455,1.123258965171243
262,2,NSW,0.16776282816235005,0.0,1.2923668209374757
263,3,NSW,0.25429279347464295,0.0,1.2622870087256932
264,4,NSW,0.22279625166444444,0.0,1.6633371999911448
265,5,NSW,0.19065972794151476,0.021788379332224838,1.1068849587902634
266,6,NSW,0.08332570877575327,0.003938460593859705,1.0655596483616276
267,7,NSW,0.16562197822947228,0.01819365007934235,0.989191442391623
268,8,NSW,0.1504240974988112,0.04459980600989235,0.7935226332908522
269,9,NSW,0.0970796129115475,0.036985751245821576,0.8755437588857744
